Agemos,Male_L,Male_M,Male_S,Female_L,Female_M,Female_S
0,1.267004226,49.98888408,0.053112191,-1.295960857,49.28639612,0.05008556
0.5,0.511237696,52.6959753,0.048692684,-0.809249882,51.68358057,0.046818545
1,0.029496618,54.66220193,0.046404757,-0.430016434,53.48485435,0.045131223
1.5,-0.45224446,56.62842855,0.04411683,-0.050782985,55.28612813,0.0434439
2,-0.72141953,58.11869099,0.042956206,0.213034211,56.68997359,0.042580002
2.5,-0.990594599,59.60895343,0.041795583,0.476851407,58.09381906,0.041716103
3,-1.138216144,60.84297685,0.041124854,0.660075509,59.27681335,0.041210638
3.5,-1.285837689,62.07700027,0.040454126,0.843299612,60.45980763,0.040705173
4,-1.358075035,63.14693219,0.040044002,0.970430934,61.49825209,0.040392469
4.5,-1.43031238,64.2168641,0.039633879,1.097562257,62.53669656,0.040079765
5,-1.453443925,65.1710895,0.039378846,1.185035949,63.47151209,0.039883305
5.5,-1.47657547,66.1253149,0.039123813,1.272509641,64.40632762,0.039686845
6,-1.46670666,66.9927474,0.038967904,1.33146925,65.26237158,0.0395657
6.5,-1.456837849,67.8601799,0.038811994,1.390428859,66.11841553,0.039444555
7,-1.424368309,68.65963224,0.038722602,1.428581392,66.91207986,0.039374646
7.5,-1.391898768,69.45908458,0.038633209,1.466733925,67.70574419,0.039304738
8,-1.343806679,70.20356185,0.038590021,1.48951795,68.44849017,0.039270924
8.5,-1.29571459,70.94803912,0.038546833,1.512301976,69.19123614,0.03923711
9,-1.236816819,71.64695012,0.038536548,1.523626371,69.89143769,0.039229387
9.5,-1.177919048,72.34586111,0.038526262,1.534950767,70.59163924,0.039221665
10,-1.111622549,73.00625761,0.038539825,1.537670821,71.25562798,0.039233168
10.5,-1.045326049,73.6666541,0.038553387,1.540390875,71.91961673,0.039244672
11,-0.974063468,74.29397564,0.038584444,1.536621883,72.55231356,0.039270546
11.5,-0.902800887,74.92129717,0.038615501,1.532852892,73.1850104,0.03929642
12,-0.828354497,75.51983627,0.038659481,1.524181181,73.79032709,0.039333147
12.5,-0.753908107,76.11837536,0.038703461,1.51550947,74.39564379,0.039369875
13,-0.677585815,76.69158723,0.038757009,1.503137249,74.97674909,0.039414853
13.5,-0.601263523,77.26479911,0.038810557,1.490765028,75.5578544,0.039459832
14,-0.524034281,77.8155111,0.03887117,1.475611641,76.11735656,0.039511107
14.5,-0.446805039,78.36622309,0.038931784,1.460458255,76.67685871,0.039562382
15,-0.369389906,78.89678179,0.03899757,1.443232132,77.21693428,0.039618462
15.5,-0.291974772,79.4273405,0.039063356,1.426006009,77.75700986,0.039674542
16,-0.214911221,79.93971771,0.039132869,1.407256552,78.27949696,0.039734276
16.5,-0.13784767,80.45209492,0.039202382,1.388507095,78.80198406,0.03979401
17,-0.061535758,80.94796548,0.039274505,1.368662611,79.30845129,0.039856502
17.5,0.014776155,81.44383603,0.039346629,1.348818127,79.81491852,0.039918994
18,0.090040162,81.92463623,0.039420497,1.328213891,80.30671692,0.039983539
18.5,0.165304169,82.40543643,0.039494365,1.307609654,80.79851532,0.040048084
19,0.239302989,82.87240853,0.039569301,1.286508901,81.27681812,0.040114123
19.5,0.313301809,83.33938063,0.039644238,1.265408149,81.75512092,0.040180162
20,0.38587864,83.79360729,0.039719714,1.24401794,82.22095451,0.040247251
20.5,0.458455471,84.24783394,0.039795189,1.222627732,82.6867881,0.04031434
21,0.529500051,84.69026526,0.039870788,1.201111049,83.14105635,0.040382122
21.5,0.600544631,85.13269658,0.039946388,1.179594365,83.59532461,0.040449904
22,0.669991792,85.56417269,0.040021784,1.158079407,84.03882834,0.040518093
22.5,0.739438953,85.9956488,0.040097181,1.136564448,84.48233206,0.040586283
23,0.8072197,86.41691195,0.04017212,1.115148197,84.91578415,0.040654649
23.5,0.875000447,86.8381751,0.04024706,1.093731947,85.34923624,0.040723015
24,0.941104258,87.24989222,0.040321343,1.072502429,85.77327657,0.040791371
24.5,1.00720807,87.66160934,0.040395626,1.051272912,86.1973169,0.040859727
25,0.92222971,88.05704108,0.040486575,1.046612044,86.64379004,0.041000944
25.5,0.837251351,88.45247282,0.040577525,1.041951175,87.09026318,0.041142161
26,0.759372163,88.83786858,0.040650323,1.027271705,87.5237025,0.04124578
26.5,0.681492975,89.22326434,0.040723122,1.012592236,87.95714182,0.041349399
27,0.610136315,89.59937831,0.040778158,0.991567072,88.37658011,0.041424913
27.5,0.538779654,89.97549228,0.040833194,0.970541909,88.7960184,0.041500428
28,0.473238404,90.3429504,0.040871127,0.945835948,89.20076495,0.041555468
28.5,0.407697153,90.71040853,0.040909059,0.921129988,89.6055115,0.041610508
29,0.347229803,91.06974307,0.040930746,0.89467569,89.9951392,0.041651135
29.5,0.286762453,91.42907762,0.040952433,0.868221392,90.38476689,0.041691761
30,0.230625969,91.78075071,0.040958882,0.841382761,90.75909206,0.041722721
30.5,0.174489485,92.13242379,0.04096533,0.81454413,91.13341722,0.04175368
31,0.121967003,92.47684773,0.040957653,0.788251053,91.49248041,0.041778621
31.5,0.069444521,92.82127167,0.040949976,0.761957977,91.8515436,0.041803562
32,0.019861978,93.15882557,0.040929356,0.736809103,92.1955894,0.041825222
32.5,-0.029720564,93.49637946,0.040908737,0.711660228,92.5396352,0.041846882
33,-0.076986177,93.82742246,0.040876399,0.687991804,92.86908974,0.041867254
33.5,-0.124251789,94.15846546,0.040844062,0.664323379,93.19854429,0.041887626
34,-0.169770093,94.48334735,0.040801246,0.64230424,93.5139991,0.041908097
34.5,-0.215288396,94.80822923,0.040758431,0.620285102,93.82945392,0.041928568
35,-0.259571368,95.12729952,0.040706371,0.599920706,94.13163835,0.041950041
35.5,-0.30385434,95.44636981,0.040654312,0.57955631,94.43382278,0.041971514
